ship-city,Amount
MAYILADUTHURAI,7180.0
GARULIA,7178.24
ANANDPUR SAHIB,7172.0
BUCHIREDDIPALEM,7168.72
NALLUR KANNIYAKUMARI DISTRICT,7168.1
DEHRI ON SONE,7164.0
RAMGARH CANTONMENT CIVIL TOWNSHIP,7162.0
MHOW,7148.38
BANGAON,7140.0
ORAGADAM INDUSTRIAL AREA,7134.0
HOSHANGABAD,7132.0
TUMSAR,7129.57
SIDCUL HARIDWAR,7119.0
"Karukachal, kottayam",7109.0
NTPC KANIHA TOWNSHIP,7098.0
Naharlagun,7096.0
RIICO INDUSTRIAL AREA NEEMRANA,7095.27
GURUVAYUR,7085.29
FARIDPUR BAREILLY DISTRICT,7084.0
INDUSTRIAL PARK NAIDUPET,7068.29
RAJAPALAYAM VIRUDHUNAGAR DISTRICT,7066.0
KHALILABAD,7057.96
SHAHAPUR THANE DISTRICT,7045.0
KANCHRAPARA,7041.43
Ropar,7040.0
WANAPARTHY,6996.0
DANDELI,6969.0
Manjeri,6959.0
Dombivli east,6957.0
SAMBA,6955.69
TALIPARAMBA,6951.0
TINDIVANAM,6927.8099999999995
CHERUTHAZHAM,6919.95
DHAMPUR,6913.0
CHANDAUSI,6909.0
Thoothukudi,6906.39
Churu,6906.280000000001
SHRIRAMPUR,6887.0
Thane west,6882.0
Chandrapur,6879.71
MATTANNUR,6868.0
DERA BASSI INDUSTRIAL AREA,6842.05
DINANAGAR,6839.0
Cochin,6835.0
Barabanki,6826.11
POTHREDDIPALLE,6800.0
VADA,6796.95
KHARDAHA,6785.67
ALATHUR,6783.0
Edappally,6778.0
MANDSAUR,6777.0
Kakinada,6772.0
SHEVGAON,6762.0
VINDHYA NAGAR NTPC TOWNSHIP,6759.0
THAIKATTUSSERY,6749.0
"Ranip,AHMEDABAD",6737.0
BALURGHAT,6730.24
NURPUR,6729.0
WEST NIMAR,6727.21
PANVEL,6719.0
KHERI,6699.0
OZAR,6698.0
KOVALAM,6696.0
ADOOR,6694.0
NAGROTA,6693.45
SRIVILLIPUTHUR,6684.0
TARIKERE,6683.38
KHANNA,6683.04
Imphal,6671.0
BHADRACHALAM,6665.0
Margao,6656.1900000000005
KARWI,6655.0
MANGALORE,6639.0
KHUNTI,6637.0
Navsari,6616.08
NABADWIP,6613.0
JAMMIKUNTA,6596.0
KOVILPATTI,6590.24
DHARMADOM,6570.29
MARKAPUR,6565.76
INDIPUR,6560.0
Dwarka,6558.0
KATHGODAM,6553.32
DAHANU,6553.0
MANDVI KACHCHH DISTRICT,6547.0
Ponda,6530.0
"Mahadevapura, Bangalore",6529.0
guwahati,6509.0
REWARI,6507.0
FATEHGARH,6504.0
SANQUELIM,6501.0
ALONG,6493.05
MIRIK,6485.0
ARSIKERE,6484.0
Belagavi,6481.0
KOTHAGUDEM,6480.0
Khammam,6477.0
Tenkasi,6472.0
GONDAL,6455.0
Tirupur,6455.0
Tiruppur,6449.67
MILAK,6407.0
Bhiwandi,6402.77
LONAVALA,6391.0
TIRWAGANJ,6389.0
Bhilai,6385.0
indore,6374.0
Greater noida,6374.0
MOONNIYUR,6369.48
BHIMTAAL,6368.0
SONAMURA,6367.07
BAGHPAT,6343.0
RAJPURA,6330.0
CHOONDAL,6329.15
CHIPLUN,6328.0
Udupi,6326.0
BALLEPALLE,6322.1
Rahara,6320.0
POLLACHI,6308.0
KANKER,6304.58
DEVARAKONDA,6294.280000000001
MANJERI,6271.0
NEDUMANGAD,6268.95
NAYAGARH,6251.95
VELUR,6249.9
KARIMGANJ,6246.0
HODAL,6242.36
GOKAK,6238.79
Karnal,6227.0
Mananthavady,6224.0
JAISALMER,6220.0
Saharanpur,6216.38
RAYACHOTI,6204.0
Patiala,6202.0
NAUGACHHIA,6198.52
PERNEM,6192.0
KUMARAPURAM,6188.0
METAPALLY,6185.48
JOWAI,6179.29
Darbhanga,6177.0
Kasaragod,6172.0
PONNANI,6163.0
bengaluru,6162.0
JANGAREDDIGUDEM,6152.0
bhubaneswar,6150.0
ULUBERIA,6147.87
AMBEJOGAI,6144.0
Anand,6137.66
Satara,6137.0
LALGANJ,6102.0
ARMUR,6096.86
Rajahmundry,6094.0
Badlapur,6089.0
KODAD,6088.0
Siddipet,6082.0
JHALAWAR,6080.0
Bharuch,6075.0
PILICODE,6068.29
HYDERABAd,6062.0
SARDARSHAHAR,6058.0
DHALIYUR,6052.0
MULBAGAL,6044.0
UTEKHOL,6040.860000000001
BHUNTAR,6040.48
PERUMBAIKAD,6021.14
SHIVPURI,6019.29
KHORDA,5982.0
TANDUR,5973.29
Anantapur,5972.29
MUSSOORIE,5971.67
Ichapur,5964.0
Shivamogga,5962.0
DIGRAS,5961.43
COONOOR,5957.43
